Date,Canton,Longitude,Latitude,Starting zone,Elevation,Aspect,Activity,Danger level,caught,buried,killed
11.02.01,TI,8.47083526347055,46.50665211726337,Bedretto,2540,SSE,1,2,3,3,3
22.02.01,GR,10.345445338552953,46.59994221915717,Fuldera,2300,NE,1,2,7,3,2
23.02.01,VS,8.18806055818445,46.40469426608063,Mühlebach,2220,NNW,2,3,2,,1
24.02.01,SZ,8.763243475781776,47.013688149714,Oberiberg,1660,N,2,4,2,1,1
27.02.01,GR,9.629374457081024,46.74835763665221,Arosa,2380,N,2,3,2,1,1
27.02.01,NW,8.49482754720216,46.91859651451046,Emmetten,2140,N,1,3,2,2,1
05.03.01,GR,9.359542746254117,46.52367318455591,Splügen,2660,N,1,3,3,2,1
13.03.01,VS,8.044243758068557,46.23080824711264,Simplon,2500,SW,1,3,1,1,1
29.03.01,GR,8.939829707778195,46.62815063721095,Medel (Lucmagn),2540,NNW,1,2,4,3,1
19.05.01,GR,9.962433072502096,46.37903713424308,Pontresina,3800,N,1,-,2,1,2
24.05.01,BE,7.975319505940632,46.56346183671636,Lauterbrunnen,2740,NW,1,-,2,1,1
23.06.01,BE,8.021438161422145,46.5829358473116,Grindelwald,3340,SSE,1,-,2,1,2
28.12.01,SG,9.25013196264975,47.06790059365802,Flums,2060,SSE,2,3,1,1,1
31.12.01,VS,7.284745807826328,46.103148756177156,Nendaz,2700,NNE,2,3,4,1,1
02.01.02,BE,7.528077275800046,46.54647616500794,Diemtigen,2360,NNW,1,3,1,1,1
03.01.02,GR,9.815027853100428,46.855336541384474,Klosters-Serneus,2400,W,2,3,1,1,1
13.01.02,GR,9.83007524992622,46.836753697210185,Davos,2240,E,2,2,1,1,1
13.01.02,BE,7.818003747899409,46.52244494680589,Reichenbach im Kandertal,2975,WNW,1,1,3,1,2
30.01.02,UR,8.686866891401024,46.696069586828486,Gurtnellen,2910,NNW,1,2,1,1,1
02.02.02,GR,9.592680099244626,46.77362302896229,Tschiertschen,2500,NW,2,2,1,1,1
13.02.02,BE,7.861444146089671,46.56133317309635,Lauterbrunnen,2450,E,2,2,1,1,1
24.02.02,VS,7.200049515058402,46.041922025000446,Bagnes,2200,N,2,3,1,1,1
25.02.02,VS,7.466402250487936,46.026698985255635,Evolène,2480,SE,2,3,2,1,1
28.02.02,VS,8.088644058457872,46.399415059804284,Martisberg,2070,E,2,3,1,1,1
05.03.02,BE,7.242734516216347,46.350462501244046,Gsteig,1900,NNE,2,3,1,1,1
05.03.02,GR,10.318056472805944,46.66797102544307,Scuol,2750,ESE,1,3,5,4,3
06.03.02,VD,7.153445355980939,46.383107242828665,Château-d’Œx,2450,NE,1,2,1,1,1
21.04.02,BE,7.731319496591512,46.47052620471051,Kandersteg,3450,NW,1,2,1,1,1
27.04.02,VS,7.245267732481898,45.893944947342234,Bourg-Saint-Pierre,3600,SW,1,2,2,,2
28.04.02,GR,9.952451559903004,46.69399615949545,Davos,3050,N,1,2,1,1,1
28.04.02,VS,8.325209152474141,46.44945105504357,Ulrichen,3020,N,1,2,1,1,1
13.08.02,BE,7.990450395621928,46.57643338826679,Lauterbrunnen,2900,W,1,-,2,,1
03.11.02,VS,7.9865734385407485,46.54784544985708,Fieschertal,3480,SE,1,-,2,1,1
29.12.02,GR,9.53349505107602,46.56185930379976,Riom-Parsonz,2220,NNE,2,3,5,2,2
06.01.03,VS,7.237607319371024,45.945339679413216,Bourg-Saint-Pierre,2750,WSW,1,3,3,3,3
06.01.03,GR,9.830483851653682,46.835620201362815,Davos,2245,E,2,3,1,1,1
10.01.03,GR,9.605145692870893,46.74162108067683,Lantsch/Lenz,2810,SSE,2,2,1,1,1
04.02.03,GR,9.848647727485869,46.78295060570668,Davos,2380,NE,2,3,1,1,1
05.02.03,VS,7.102169546269263,46.02561537982583,Orsières,1950,NE,2,4,5,4,4
08.02.03,VS,8.002320436370253,46.238131650162494,Simplon,2100,SE,1,3,4,2,1
09.02.03,GR,9.934621952434899,46.52779581183205,Samedan,2960,SW,1,3,1,1,1
10.02.03,UR,8.612719827493605,46.62353517959654,Andermatt,1980,NNE,2,3,1,1,1
11.02.03,VS,7.582308688710394,46.15092845354717,Grimentz,2680,WSW,2,3,1,,1
24.02.03,GR,9.569408273951383,46.433632377896835,Juf,2730,ENE,1,1,2,1,1
15.04.03,VS,7.31603005552493,45.992992899894126,Bagnes,2990,NE,2,2,1,,1
19.04.03,VS,7.587338572840445,46.144310221419566,Ayer,2760,E,2,1,1,1,1
19.12.03,GR,10.254410670016172,46.63229674152478,Tschierv,2385,ESE,1,2,2,2,1
29.12.03,GR,9.804224343657284,46.73261821219735,Davos,2260,NW,2,3,11,2,1
30.12.03,BE,7.582438101864398,46.44553449431091,Adelboden,2300,SW,1,3,3,2,2
04.01.04,VS,7.7131888160157285,46.36109409460219,Gampel,2730,SE,1,2,1,1,1
15.01.04,GR,10.253939846922089,46.63203834764536,Tschierv,2400,ESE,1,3,3,2,1
17.01.04,VS,7.26340077524668,46.10536650552984,Bagnes,2650,WSW,2,3,4,4,1
25.01.04,VS,7.306795182427177,46.07628016413983,Bagnes,2950,SW,2,3,1,1,1
15.02.04,GR,9.835199507192149,46.732475600202655,Davos,2120,NE,2,2,1,,1
21.02.04,VS,7.178699230233715,45.968022294379345,Liddes,2160,NNW,1,2,2,1,1
05.06.04,TI,8.544158511534015,46.565699260909305,Airolo,2160,SSE,1,-,2,,1
22.12.04,SZ,8.825349152170096,47.00179861511825,Oberiberg,2120,N,1,3,2,1,1
26.12.04,GR,10.25877769537715,46.88341437243991,Sent,2610,NNE,1,3,1,1,1
27.12.04,VS,7.278919165941915,46.105614423970216,Riddes,2700,N,2,3,1,1,1
30.12.04,VS,7.461862728391632,45.980463732973014,Bagnes,3220,SSE,1,3,2,1,1
30.12.04,BE,7.509179911079199,46.50227604412753,St. Stephan,2260,NNW,1,3,1,1,1
23.01.05,VS,7.470454186873803,46.3321863095208,Lens / Icogne,2120,NW,2,3,2,2,2
23.01.05,VS,7.91862220312588,46.089504012744925,Saas-Fee,2325,NW,2,3,1,1,1
05.02.05,GR,9.821486004139972,46.71390865022726,Davos,2805,NW,1,3,2,2,1
05.02.05,GR,9.930396487649773,46.83380039049705,Klosters-Serneus,2485,N,1,3,1,1,1
06.02.05,GR,9.909469030282644,46.59233592512666,Madulain,2470,ENE,1,3,2,2,2
08.02.05,GR,9.188283151920967,46.59122280729136,Vals,1940,NNE,1,2,1,1,1
