Date,Canton,Starting zone,Elevation,Aspect,Activity,Danger level,caught,buried,killed
26.10.97,BE,Kandersteg,3420,N,1,-,2,1,2
19.12.97,GR,St. Moritz,2560,SW,2,3,2,1,1
21.12.97,UR,Andermatt,2940,NW,3,4,2,1,1
29.12.97,VS,Bagnes,2435,NE,1,3,2,2,1
04.01.98,UR,Andermatt,2400,N,2,3,2,1,1
20.01.98,GR,Samedan,2435,SE,1,3,1,1,1
21.01.98,FR,Charmey,1620,WNW,3,4,1,1,1
25.01.98,VS,Hérémence,3300,NNW,1,2,6,3,1
26.01.98,GR,Lantsch/Lenz,2800,WNW,2,2,1,1,1
18.03.98,GR,Mulegns,3300,S,1,2,4,,2
30.03.98,SZ,Unteriberg,1450,SW,1,2,1,1,1
20.04.98,GR,Samedan,2950,ENE,1,2,1,1,1
04.10.98,BE,Reichenbach im Kandertal,3600,N,1,-,2,1,2
10.12.98,VS,Evolène,2980,ESE,1,2,1,1,1
12.12.98,VS,Saas-Almagell,2680,SE,1,2,2,,1
12.12.98,VS,Val d’Illiez,2100,WNW,2,2,1,1,1
13.12.98,SZ,Morschach / Schwyz,1380,N,2,3,1,,1
27.12.98,VS,Trient,2240,N,2,2,1,1,1
01.01.99,VS,Bourg-Saint-Pierre,2400,NE,1,3,4,1,1
01.01.99,TI,Quinto,2540,WSW,1,3,1,1,1
06.01.99,BE,Grindelwald,2200,NE,1,2,1,1,1
01.02.99,VS,Nendaz,2560,NE,2,3,6,3,1
07.02.99,GR,Lavin,2840,SSE,3,4,4,4,1
08.02.99,BE,Lauterbrunnen,2150,W,4,4,2,2,2
11.02.99,GR,Davos,2280,WNW,2,4,2,2,1
13.02.99,VS,Bagnes,2150,W,2,3,1,1,1
21.02.99,VS,Evolène,2900,WSW,4,4,5,5,5
21.02.99,VS,Evolène,2900,WSW,3,4,4,4,4
21.02.99,VS,Evolène,2900,WSW,3,4,4,3,3
23.02.99,VS,Geschinen,2600,E,4,5,1,1,1
23.02.99,UR,Silenen,2750,S,4,5,1,1,1
09.03.99,GR,Pontresina,2900,NNE,2,2,1,1,1
14.04.99,GR,Susch,3020,ENE,1,2,3,,1
20.04.99,GR,Scuol,2750,NW,1,2,2,1,1
28.06.99,UR,Spiringen,3080,N,1,-,2,2,2
03.07.99,BE,Guttannen,3880,S,1,-,1,,1
