date,region,temperature
2001-11-12 00:00:00,-,15
2001-11-26 00:00:00,-,0
2001-11-29 00:00:00,-,-5
2001-12-05 00:00:00,-,0
2001-12-06 00:00:00,-,0
2001-12-08 00:00:00,-,-2
2001-12-11 00:00:00,-,-3
2001-12-12 00:00:00,-,-5
2001-12-13 00:00:00,-,-15
2001-12-14 00:00:00,-,-24
2001-12-19 00:00:00,-,-3
2001-12-20 00:00:00,-,-9
2001-12-21 00:00:00,-,-9
2001-12-22 00:00:00,-,-9
2001-12-23 00:00:00,-,-14
2001-12-26 00:00:00,-,-10
2001-12-27 00:00:00,est,-20
2002-01-02 00:00:00,est,-6
,ouest,-2
2002-01-03 00:00:00,est,-2
,ouest,2
2002-01-04 00:00:00,est,-6
2002-01-05 00:00:00,-,0
2002-01-06 00:00:00,-,3
2002-01-08 00:00:00,-,-1
2002-01-10 00:00:00,est,2
,ouest,-3
2002-01-11 00:00:00,nord,-6
2002-01-12 00:00:00,-,-2
2002-01-13 00:00:00,ouest,0
,est,-4
2002-01-14 00:00:00,-,-4
2002-01-15 00:00:00,est,-6
,ouest,-3
2002-01-16 00:00:00,-,-6
2002-01-17 00:00:00,-,-6
2002-01-18 00:00:00,-,-4
2002-01-19 00:00:00,-,-3
2002-01-20 00:00:00,-,-4
2002-01-22 00:00:00,est,0
2002-01-24 00:00:00,-,-3
2002-01-25 00:00:00,est,-5
,ouest,-3
2002-01-26 00:00:00,-,0
2002-01-28 00:00:00,-,0
2002-01-29 00:00:00,-,0
2002-01-30 00:00:00,-,0
2002-01-31 00:00:00,-,0
2002-02-04 00:00:00,-,0
2002-02-05 00:00:00,-,3
2002-02-06 00:00:00,-,-5
2002-02-08 00:00:00,-,-2
2002-02-09 00:00:00,ouest,0
,est,0
2002-02-10 00:00:00,-,-6
2002-02-11 00:00:00,est,-1
,sud,2
2002-02-12 00:00:00,ouest,3
2002-02-13 00:00:00,-,0
2002-02-14 00:00:00,-,1
2002-02-15 00:00:00,sud,-4
,nord,1
2002-02-16 00:00:00,-,0
2002-02-17 00:00:00,-,-4
2002-02-18 00:00:00,-,-5
2002-02-19 00:00:00,-,-8
2002-02-20 00:00:00,-,-4
2002-02-21 00:00:00,-,-11
2002-02-23 00:00:00,-,-3
2002-02-25 00:00:00,-,-4
2002-02-27 00:00:00,-,0
2002-03-01 00:00:00,-,-3
2002-03-02 00:00:00,-,-3
2002-03-04 00:00:00,nord,2
,sud,0
2002-03-05 00:00:00,sud,1
,nord,3
2002-03-06 00:00:00,-,2
2002-03-07 00:00:00,-,5
2002-03-08 00:00:00,nord,4
,sud,7
2002-03-09 00:00:00,-,0
2002-03-10 00:00:00,-,0
2002-03-11 00:00:00,-,0
2002-03-12 00:00:00,-,0
2002-03-13 00:00:00,-,0
2002-03-14 00:00:00,-,0
2002-03-15 00:00:00,-,0
2002-03-16 00:00:00,-,2
2002-03-17 00:00:00,-,3
2002-03-18 00:00:00,-,2
2002-03-19 00:00:00,-,1
2002-03-20 00:00:00,-,2
2002-03-21 00:00:00,nord,2
,sud,4
2002-03-22 00:00:00,-,2
2002-03-25 00:00:00,-,-7
2002-03-26 00:00:00,-,-5
2002-03-27 00:00:00,ouest,-3
,est,-5
2002-03-29 00:00:00,-,0
2002-03-30 00:00:00,-,0
2002-03-31 00:00:00,-,0
2002-04-01 00:00:00,-,3
2002-04-02 00:00:00,-,3
2002-04-03 00:00:00,-,0
2002-04-04 00:00:00,-,3
2002-04-05 00:00:00,-,0
2002-04-06 00:00:00,ouest,-2
,est,-4
2002-04-07 00:00:00,-,0
2002-04-08 00:00:00,-,3
2002-04-09 00:00:00,-,-1
2002-04-10 00:00:00,-,-2
2002-04-11 00:00:00,-,3
2002-04-12 00:00:00,-,2
2002-04-13 00:00:00,-,2
2002-04-14 00:00:00,-,-4
