date,region,wind
2001-11-12 00:00:00,sud,modere 
,nord,modere 
2001-11-23 00:00:00,-,faible 
2001-11-24 00:00:00,-,faible 
2001-11-25 00:00:00,nord,modere 
2001-12-01 00:00:00,nord,modere 
2001-12-02 00:00:00,-,faible 
2001-12-04 00:00:00,ouest,modere 
2001-12-05 00:00:00,-,faible 
2001-12-07 00:00:00,-,fort 
2001-12-08 00:00:00,-,modere 
2001-12-09 00:00:00,-,modere 
2001-12-10 00:00:00,-,modere 
2001-12-14 00:00:00,-,fort 
2001-12-15 00:00:00,-,modere 
2001-12-19 00:00:00,nord,modere 
,est,faible 
2001-12-22 00:00:00,nord,fort 
2001-12-23 00:00:00,nord,modere 
2001-12-25 00:00:00,-,fort 
2001-12-27 00:00:00,-,fort 
2001-12-28 00:00:00,-,fort 
2002-01-04 00:00:00,-,faible 
2002-01-05 00:00:00,-,faible 
2002-01-06 00:00:00,-,faible 
2002-01-08 00:00:00,-,fort 
2002-01-10 00:00:00,-,faible 
2002-01-12 00:00:00,-,modere 
2002-01-13 00:00:00,ouest,faible 
2002-01-14 00:00:00,nord,modere 
2002-01-19 00:00:00,ouest,fort 
2002-01-20 00:00:00,-,fort 
2002-01-21 00:00:00,-,fort 
2002-01-22 00:00:00,-,faible 
2002-01-23 00:00:00,-,modere 
2002-01-24 00:00:00,-,fort 
2002-01-25 00:00:00,-,faible 
2002-01-26 00:00:00,sud,faible 
,nord,modere 
2002-01-27 00:00:00,-,faible 
2002-01-28 00:00:00,nord,fort 
2002-02-01 00:00:00,-,modere 
2002-02-04 00:00:00,-,faible 
2002-02-05 00:00:00,-,modere 
2002-02-06 00:00:00,nord,faible 
2002-02-07 00:00:00,-,fort 
2002-02-08 00:00:00,-,modere 
2002-02-09 00:00:00,sud,modere 
2002-02-15 00:00:00,sud,fort 
2002-02-16 00:00:00,sud,fort 
2002-02-19 00:00:00,ouest,fort 
2002-02-21 00:00:00,-,fort 
2002-02-22 00:00:00,ouest,fort 
2002-02-23 00:00:00,-,fort 
2002-02-25 00:00:00,est,faible 
2002-02-26 00:00:00,-,fort 
2002-02-27 00:00:00,-,modere 
2002-02-28 00:00:00,ouest,modere 
2002-03-01 00:00:00,sud,modere 
2002-03-02 00:00:00,-,faible 
2002-03-04 00:00:00,sud,faible 
2002-03-05 00:00:00,sud,modere 
2002-03-06 00:00:00,sud,modere 
2002-03-08 00:00:00,-,faible 
2002-03-11 00:00:00,-,faible 
